,Distance,Elevation Gain,Max Grade,Average Grade,Moving Time
22,67.69,1062.6673583984375,11.199999809265137,0.0002954611263703,11830.0
23,99.21,1120.150146484375,20.299999237060547,-0.0001007898899842,13932.0
24,58.2,455.5125427246094,12.300000190734863,0.0003436302067711,15225.0
25,118.01,966.3978271484376,11.300000190734863,-0.0002542073489166,17473.0
26,67.52,953.504638671875,13.699999809265137,-0.0011848394060507,10766.0
27,26.28,282.6476745605469,14.699999809265137,0.000380449462682,3816.0
28,110.2,1038.92919921875,14.0,-9.074443369172512e-05,16856.0
29,57.78,620.0850830078125,15.399999618530272,-0.0001730690710246,8265.0
30,78.82,899.2298583984375,14.800000190734863,-0.0469416268169879,18606.0
31,27.95,421.9764404296875,12.600000381469728,0.0003577216120902,4293.0
32,71.36,694.0645751953125,11.800000190734863,-0.0002802384260576,10165.0
33,35.27,579.5697631835938,14.399999618530272,0.7144761085510254,6254.0
34,66.1,671.44677734375,12.800000190734863,0.0,10407.0
35,21.18,244.84600830078125,21.200000762939453,-0.103873535990715,2904.0
36,79.93,1130.69580078125,21.200000762939453,0.0,11697.0
37,15.71,64.93052673339844,11.5,-2.08154296875,2044.0
38,25.95,279.6878967285156,12.899999618530272,0.0003852302615996,3374.0
39,58.25,531.5249633789062,11.100000381469728,0.0099560730159282,21230.0
40,77.01,855.2437744140625,19.799999237060547,-0.0009089634404517,13892.0
41,11.21,134.8866424560547,14.300000190734863,0.8349315524101257,5828.0
42,7.89,109.92430114746094,22.5,0.3282927572727203,4106.0
43,35.29,372.7861633300781,10.300000190734863,-0.0187001153826713,4966.0
44,35.1,339.0,7.199999809265137,-0.0205093137919902,4929.0
45,26.01,279.736572265625,11.600000381469728,0.0003843670128844,3592.0
46,93.8,1486.8543701171875,17.899999618530273,0.0001066050317604,15043.0
47,92.05,1300.0,11.100000381469728,0.019770573824644,14112.0
48,80.61,941.02734375,19.0,0.0,14443.0
52,12.59,119.53582763671876,12.0,0.001587692182511,1894.0
53,27.03,294.3973388671875,13.399999618530272,0.0048090796917676,7572.0
54,38.09,535.1860961914062,13.600000381469728,0.0002624837215989,6866.0
55,20.17,316.2542419433594,11.0,0.0009915027767419,3551.0
56,115.1,1150.1279296875,23.0,0.0,16853.0
63,68.56,939.4505615234376,24.399999618530277,-0.0001458425394957,11915.0
64,88.15,1216.5054931640625,19.799999237060547,-0.0006806487217545,14073.0
65,61.89,1009.1334838867188,16.299999237060547,-0.0006462964811362,10206.0
66,39.16,379.4036560058594,15.600000381469728,0.0002553169615566,5041.0
68,54.57,316.2542419433594,20.700000762939453,0.0,8250.0
69,74.83,316.2542419433594,16.799999237060547,-0.0013363641919568,11240.0
70,71.02,902.5686645507812,18.200000762939453,-0.0011264020577073,12152.0
71,59.07,678.7865600585938,13.5,-0.0006771477637812,9270.0
72,53.25,610.183349609375,23.600000381469727,-0.0013143836986273,10538.0
75,84.29,1307.120849609375,24.799999237060547,-0.0007118231733329,16306.0
78,10.8,1210.0,20.600000381469727,11.200340270996094,4344.0
79,12.62,766.0,11.699999809265137,5.859570026397705,3330.0
80,38.65,773.0,19.399999618530277,1.3524351119995115,5460.0
81,25.85,126.0,5.699999809265137,0.1299751251935959,2730.0
82,20.45,413.0,13.300000190734863,1.3760526180267334,3221.0
83,23.07,638.0,14.300000190734863,0.0996840447187423,3111.0
84,7.43,463.0,17.100000381469727,5.868181228637695,2130.0
85,24.29,1347.0,16.700000762939453,5.478358268737793,6987.0
